Customer_ID,Total_Orders,Total_Spend,Avg_Session_Duration,Avg_Pages_Viewed,Total_Discount,Is_Returning_Customer,Avg_Rating,Engagement_Score,Customer_Segment,Returning_Status
CUST_00001,3,2199.63,14.333333333333334,9.0,138.05,True,3.3333333333333335,12.2,2,Returning
CUST_00002,2,809.9000000000001,15.0,10.0,71.05,True,4.0,13.0,1,Returning
CUST_00003,2,3030.81,10.5,8.5,0.0,True,3.5,9.7,1,Returning
CUST_00004,1,383.22,16.0,15.0,97.78,False,5.0,15.6,1,At Risk
CUST_00005,3,2422.73,12.666666666666666,9.333333333333334,0.0,True,3.6666666666666665,11.333333333333334,1,Returning
CUST_00006,3,1245.83,16.0,9.333333333333334,12.77,True,4.333333333333333,13.333333333333334,3,Returning
CUST_00007,1,1331.55,17.0,9.0,142.95,True,4.0,13.799999999999999,3,Returning
CUST_00008,3,5602.29,17.0,9.0,190.15,True,4.666666666666667,13.799999999999999,3,Returning
CUST_00009,1,470.86,11.0,11.0,0.0,False,3.0,11.0,2,At Risk
CUST_00010,3,1421.16,14.333333333333334,9.0,0.0,True,4.0,12.2,1,Returning
CUST_00011,7,6328.45,13.0,9.285714285714286,278.32000000000005,True,4.571428571428571,11.514285714285714,4,Returning
CUST_00012,1,794.4,8.0,7.0,0.0,False,4.0,7.6,1,At Risk
CUST_00013,2,667.97,12.5,6.5,172.04,True,5.0,10.1,1,Returning
CUST_00014,3,550.5600000000001,15.0,6.0,0.0,True,3.0,11.4,2,Returning
CUST_00015,4,17407.51,13.75,9.5,2791.0,True,3.25,12.05,0,Returning
CUST_00016,10,7775.48,14.4,8.7,1321.7499999999998,True,3.6,12.120000000000001,4,Returning
CUST_00017,1,903.51,13.0,9.0,0.0,True,5.0,11.4,1,Returning
CUST_00018,4,3145.06,13.75,9.25,0.0,True,4.5,11.95,1,Returning
CUST_00019,1,673.1,17.0,9.0,189.68,True,4.0,13.799999999999999,3,Returning
CUST_00020,2,2577.16,9.5,9.5,0.0,True,4.5,9.5,1,Returning
CUST_00021,3,5200.38,15.666666666666666,7.666666666666667,89.74,True,4.333333333333333,12.466666666666665,3,Returning
CUST_00022,4,933.56,16.25,7.75,0.0,True,4.0,12.85,3,Returning
CUST_00023,1,105.55,15.0,7.0,0.0,True,5.0,11.8,3,Returning
CUST_00024,2,333.99,13.5,7.5,89.76,True,4.5,11.1,1,Returning
CUST_00025,2,1061.66,11.5,9.0,93.07,True,5.0,10.5,1,Returning
CUST_00026,2,790.61,14.5,7.0,0.0,True,5.0,11.5,3,Returning
CUST_00027,4,2577.6099999999997,13.25,8.75,328.71000000000004,True,4.25,11.45,1,Returning
CUST_00028,2,865.42,15.0,8.5,19.28,True,4.0,12.4,3,Returning
CUST_00029,8,15296.52,15.625,10.0,3286.2099999999996,True,3.25,13.375,0,Returning
CUST_00030,7,19332.920000000002,14.0,10.0,64.66,True,4.142857142857143,12.4,4,Returning
CUST_00031,3,514.58,13.333333333333334,8.666666666666666,0.0,True,4.333333333333333,11.466666666666667,1,Returning
CUST_00032,1,45.36,18.0,9.0,0.0,True,3.0,14.399999999999999,3,Returning
CUST_00033,2,415.38,14.0,11.5,20.79,True,3.5,13.0,1,Returning
CUST_00034,2,6302.3,15.5,10.0,930.12,True,5.0,13.299999999999999,3,Returning
CUST_00035,2,221.73000000000002,13.0,11.0,21.25,True,4.0,12.2,1,Returning
CUST_00036,3,373.63,13.666666666666666,9.0,5.85,True,4.666666666666667,11.799999999999999,1,Returning
CUST_00037,1,3599.4,17.0,4.0,0.0,False,5.0,11.799999999999999,3,At Risk
CUST_00038,3,1130.59,14.0,9.666666666666666,0.0,True,3.6666666666666665,12.266666666666667,1,Returning
CUST_00039,3,3282.2999999999997,14.0,10.333333333333334,0.0,True,5.0,12.533333333333335,1,Returning
CUST_00040,3,2875.36,14.333333333333334,6.0,0.0,True,4.666666666666667,11.0,3,Returning
CUST_00041,4,5685.5599999999995,15.25,8.5,96.36,True,3.5,12.55,4,Returning
CUST_00042,2,3605.71,11.5,9.0,17.17,True,4.0,10.5,1,Returning
CUST_00043,2,1279.8000000000002,15.5,9.5,78.73,True,5.0,13.1,3,Returning
CUST_00044,2,391.98,13.5,7.5,0.0,True,5.0,11.1,1,Returning
CUST_00045,3,7551.92,15.333333333333334,9.0,1157.04,True,4.0,12.799999999999999,4,Returning
CUST_00046,2,1887.29,14.5,10.5,0.0,True,2.0,12.899999999999999,2,Returning
CUST_00047,2,2974.21,15.5,9.0,509.05,True,5.0,12.899999999999999,3,Returning
CUST_00048,4,4436.29,13.0,11.5,436.52,True,3.5,12.4,1,Returning
CUST_00049,3,702.35,14.666666666666666,8.666666666666666,54.989999999999995,True,3.6666666666666665,12.266666666666666,3,Returning
CUST_00050,1,247.4,9.0,4.0,0.0,True,4.0,7.0,1,Returning
CUST_00051,2,338.21999999999997,14.5,8.0,44.91,True,3.5,11.899999999999999,2,Returning
